rownames,project_id,date,type
268,69,2013-01-01 ,1
269,69,2013-12-31 ,8
270,70,2013-01-01 ,1
271,70,2013-12-31 ,8
272,71,2013-01-01 ,1
273,71,2013-12-31 ,8
274,72,2013-01-01 ,1
275,72,2014-12-31 ,8
276,73,2013-01-01 ,1
277,73,2015-12-31 ,8
278,74,2013-01-01 ,1
279,74,2016-12-31 ,8
280,75,2013-01-01 ,1
281,75,2013-12-31 ,8
282,76,2013-01-01 ,1
283,76,2015-12-31 ,8
284,77,2013-01-01 ,1
285,77,2013-12-31 ,8
286,78,2013-01-01 ,1
287,78,2013-12-31 ,8
288,79,2013-01-01 ,1
289,79,2016-12-31 ,8
290,80,2013-01-01 ,1
291,80,,2
292,80,2013-12-31 ,8
293,80,,16
294,80,,32
295,80,,64
296,80,,2048
297,81,2013-01-01 ,1
298,81,2013-01-01 ,2
299,81,2017-12-31 ,8
300,81,2009-09-09 ,16
301,81,2013-04-15 ,32
302,81,2009-05-01 ,64
303,81,2009-02-02 ,128
304,81,2014-09-15 ,512
305,81,2015-11-20 ,1024
306,82,2013-01-01 ,1
307,82,2015-12-31 ,8
308,83,2013-01-01 ,1
309,83,2014-01-01 ,2
310,83,2019-12-01 ,8
311,83,2016-08-01 ,16
312,83,2017-12-01 ,32
313,83,2014-08-01 ,128
314,83,2019-12-24 ,2048
315,84,2013-01-01 ,1
316,84,2014-12-31 ,8
317,85,2013-01-01 ,1
318,85,2013-12-31 ,8
319,86,2013-01-01 ,1
320,86,2014-12-31 ,8
321,87,2013-01-01 ,1
322,87,,2
323,87,2014-12-31 ,8
324,87,,16
325,87,,32
326,87,,64
327,87,,2048
328,88,2013-01-01 ,1
329,88,2014-12-31 ,8
330,89,2013-01-01 ,1
331,89,2015-12-31 ,8
332,90,2013-01-01 ,1
333,90,2014-12-31 ,8
334,91,2013-01-01 ,1
335,91,2015-12-31 ,8
336,92,2013-01-01 ,1
337,92,2014-12-31 ,8
338,93,2013-01-01 ,1
339,93,2013-01-01 ,2
340,93,2018-12-31 ,8
341,93,2019-01-04 ,2048
342,94,2013-01-01 ,1
343,94,2013-01-01 ,2
344,94,2013-01-01 ,4
345,94,2018-12-31 ,8
346,94,,16
347,94,,32
348,94,,64
349,94,,128
350,94,,512
351,94,2019-01-04 ,2048
352,95,2013-01-01 ,1
353,95,2015-12-31 ,8
354,96,2013-01-01 ,1
355,96,2014-01-01 ,8
356,97,2013-01-01 ,1
357,97,2015-12-31 ,8
358,98,2013-01-01 ,1
