rownames,macro_budget_id,year,amount,comment,project_id,accounting_amount
1221,34485098,2018,13104.01,,755,13104.01
1222,34485104,2019,199.98,,953,199.98
1223,34485105,2018,11825.29,,953,11825.29
1224,34485116,2016,3713.95,,661,3713.95
1225,34485117,2018,11323.78,,661,11323.78
1226,34485118,2017,2809.76,,661,2809.76
1227,34485119,2019,0,,661,0
1228,34485128,2018,59912.53,,249,59912.53
1229,34485129,2017,89415.86,,249,89415.86
1230,34485130,2015,78536.89,,249,78536.89
1231,34485131,2014,4150,,249,4150
1232,34485132,2019,714.84,,249,714.84
1233,34485133,2016,103339.65,,249,103339.65
1234,34485159,2019,0,,741,0
1235,34485160,2017,2113.6,,741,2113.6
1236,34485161,2018,53206.17,,741,53206.17
1237,34485162,2017,538.39,,598,538.39
1238,34485163,2019,2654.4,,598,2654.4
1239,34485164,2016,0,,598,0
1240,34485165,2018,6000,,598,6000
1241,34485166,2019,11005.06,,1039,11005.06
1242,34485167,2019,0,,990,0
1243,34485181,2019,0,,984,0
1244,34487626,2019,0,,993,0
1245,34487667,2019,6714.98,,1040,6714.98
1246,34487713,2019,1658.57,,1086,1658.57
1247,34488503,2019,0,,987,0
1248,34488504,2018,0,,987,0
1249,34489577,2019,0,,48,0
1250,34489578,2017,258,,48,258
1251,34489579,2016,307.7,,48,307.7
1252,34489580,2014,0,,48,0
1253,34489581,2018,385.85,,48,385.85
1254,34489582,2020,0,,48,0
1255,34489628,2014,1989762.08,,130,1989762.08
1256,34489629,2019,659882.72,,130,659882.72
1257,34489630,2016,1659939.34,,130,1659939.34
1258,34489631,2018,1351985.97,,130,1351985.97
1259,34489632,2020,0,,130,0
1260,34489633,2013,181687.05,,130,181687.05
1261,34489634,2015,2798378.39,,130,2798378.39
1262,34489635,2017,2000770.85,,130,2000770.85
1263,34489678,2016,36979.39,,296,36979.39
1264,34489679,2018,366.22,,296,366.22
1265,34489680,2014,123869.3,,296,123869.3
1266,34489681,2019,0,,296,0
1267,34489682,2020,0,,296,0
1268,34489683,2015,93628.78,,296,93628.78
1269,34489684,2017,32868.56,,296,32868.56
1270,34489720,2016,3878.9,,361,3878.9
1271,34489721,2019,0,,361,0
1272,34489722,2017,10264,,361,10264
1273,34489723,2015,41372,,361,41372
1274,34489724,2020,0,,361,0
1275,34489725,2018,0,,361,0
1276,34489726,2014,29003.88,,361,29003.88
1277,34489732,2018,97377.15,,429,97377.15
1278,34489733,2017,73723.38,,429,73723.38
1279,34489734,2019,4196.01,,429,4196.01
1280,34489735,2015,13051.48,,429,13051.48
1281,34489736,2020,26138.97,,429,26138.97
1282,34489737,2016,52360.64,,429,52360.64
1283,34489753,2016,23616.66,,482,23616.66
1284,34489754,2019,108052.88,,482,108052.88
1285,34489755,2015,1659.3,,482,1659.3
1286,34489756,2017,787.49,,482,787.49
1287,34489757,2020,117.82,,482,117.82
1288,34489758,2018,96865.44,,482,96865.44
1289,34489766,2019,44532.26,,493,44532.26
1290,34489767,2017,36098.09,,493,36098.09
1291,34489768,2015,4588.99,,493,4588.99
1292,34489769,2016,2891.06,,493,2891.06
1293,34489770,2018,39449.24,,493,39449.24
1294,34489807,2019,-527.09,,573,-527.09
1295,34489808,2017,227653.94,,573,227653.94
1296,34489809,2016,160966.34,,573,160966.34
1297,34489810,2018,76121.81,,573,76121.81
1298,34489842,2018,7212.35,,583,7212.35
1299,34489843,2017,7721.32,,583,7721.32
1300,34489844,2019,6467.03,,583,6467.03
1301,34489845,2020,513.07,,583,513.07
1302,34489852,2019,0,,594,0
1303,34489853,2016,1270.38,,594,1270.38
1304,34489854,2020,0,,594,0
1305,34489855,2018,0,,594,0
1306,34489856,2017,0,,594,0
1307,34489857,2016,87966.12,,595,87966.12
1308,34489858,2018,9352.31,,595,9352.31
1309,34489859,2019,4958.03,,595,4958.03
1310,34489860,2017,46383.4,,595,46383.4
1311,34489861,2020,3376.8,,595,3376.8
1312,34489894,2017,0,,614,0
1313,34489895,2016,0,,614,0
1314,34489896,2018,0,,614,0
1315,34489985,2019,0,,735,0
1316,34489986,2017,5798.59,,735,5798.59
1317,34489987,2020,0,,735,0
1318,34489988,2018,15,,735,15
1319,34490008,2018,4469.83,,758,4469.83
1320,34490009,2020,0,,758,0
1321,34490010,2017,118978.45,,758,118978.45
1322,34490031,2019,3800,,777,3800
1323,34490032,2018,3800,,777,3800
1324,34490033,2020,0,,777,0
1325,34490034,2017,1180.23,,777,1180.23
1326,34490035,2017,17000.75,,780,17000.75
1327,34490036,2018,-14592,,780,-14592
