rownames,session_id,collaborator_id,event_id,event_start_date,event_type,SalaireMois,ETP01,ETP02,ETP03,ETP04,ETP05,ETP06,ETP07,ETP08,ETP09,ETP10,ETP11,ETP12,ETP,Salaire13,PrimePrecarite,CongesCDD,ChargesSocialesPourcent,CoutTotalAnnuel,user_comments,comments,credte,upduser_id,PrecariteActive
478,16,93,0,2015-03-15,DefaultPeriod,3568.5118,0,0,0.5,0.5,1,1,1,1,1,1,1,1,0.75,2703.15,3514.09,4375.43,0.608,69192.95,Consultant ext,,2015-09-28 ,60,1
479,16,94,0,2015-03-16,DefaultPeriod,3568.5118,0,0,0.5,1,1,1,1,1,1,1,0,0,0.63,2252.62,2928.41,3646.19,0.608,57660.79,Consultant ext,,2015-09-28 ,60,1
480,16,95,0,2015-05-01,DefaultPeriod,3861.7754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,,,2015-09-28 ,60,1
481,16,103,0,2015-07-01,DefaultPeriod,3568.5118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,,,2015-09-29 ,60,1
482,18,49,0,2016-01-01,DefaultPeriod,4224.92,1,1,1,1,1,1,1,0,0,0,0,0,0.58,2468.06,0,0,0.608,51592.28,,,2015-12-08 ,60,0
483,18,50,0,2016-01-01,DefaultPeriod,4340,1,1,1,1,1,1,1,1,1,1,1,1,1,4340,5642,7024.91,0.608,111091.75,,,2015-12-08 ,60,1
484,18,51,0,2016-01-01,DefaultPeriod,7321.54,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,141276.44,,,2015-12-08 ,60,0
485,18,53,0,2016-01-01,DefaultPeriod,4329.5,1,1,1,1,1,1,1,1,1,1,1,1,1,4351.15,0,0,0.608,90956.39,,,2015-12-08 ,60,0
486,18,54,0,2016-01-01,DefaultPeriod,3534.16,1,0,0,0,0,0,0,0,0,0,0,0,0.08,294.51,0,0,0.608,6156.5,,,2015-12-08 ,60,0
487,18,55,0,2016-01-01,DefaultPeriod,4538.88,1,1,1,1,1,1,1,1,1,1,1,1,1,4561.57,0,0,0.608,95355.14,,,2015-12-08 ,60,0
488,18,56,0,2016-01-01,DefaultPeriod,2740.69,1,1,1,1,1,1,1,1,1,1,1,1,1,2754.39,0,0,0.608,57577.83,,,2015-12-08 ,60,0
489,18,57,0,2016-01-01,DefaultPeriod,3191.53,1,1,1,1,1,1,1,1,1,1,1,1,1,3207.49,0,0,0.608,67049.32,,,2015-12-08 ,60,0
490,18,58,0,2016-01-01,DefaultPeriod,3540.09,1,1,1,1,1,1,1,1,1,1,1,1,1,3557.79,0,0,0.608,74372.06,,,2015-12-08 ,60,0
491,18,59,0,2016-01-01,DefaultPeriod,6530.82,1,1,1,1,1,1,1,1,1,1,1,1,1,0,8490.07,10571.07,0.608,156669.02,,,2015-12-08 ,60,1
492,18,61,0,2016-01-01,DefaultPeriod,2560.83,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,49660.84,,,2015-12-08 ,60,0
493,18,62,0,2016-01-01,DefaultPeriod,2740.69,1,1,1,1,1,1,1,1,1,1,1,1,1,2754.39,0,0,0.608,57577.83,,,2015-12-08 ,60,0
494,18,63,0,2016-01-01,DefaultPeriod,2740.69,1,1,1,1,1,1,1,1,1,1,1,1,1,2754.39,0,0,0.608,57577.83,,,2015-12-08 ,60,0
495,18,64,0,2016-01-01,DefaultPeriod,3586.35,1,1,1,0,0,0,0,0,0,0,0,0,0.25,896.59,0,0,0.608,18742.27,,,2015-12-08 ,60,0
496,18,72,0,2016-01-01,DefaultPeriod,3881.08,1,1,1,1,1,1,1,1,1,1,1,1,1,3900.49,5070.63,6313.49,0.608,99841.41,,,2015-12-08 ,60,1
497,18,73,0,2016-01-01,DefaultPeriod,3881.08,1,1,1,1,1,1,1,1,1,1,1,1,1,3900.49,5070.63,6313.49,0.608,99841.41,,,2015-12-08 ,60,1
498,18,75,0,2016-01-04,DefaultPeriod,2565.72,1,1,1,1,1,1,1,1,1,1,1,1,1,2578.55,3352.11,4173.75,0.608,66003.56,,,2015-12-08 ,60,1
499,18,76,0,2016-01-01,DefaultPeriod,1457,1,1,1,1,1,1,1,0,0,0,0,0,0.58,849.92,0,0,0.38,15247.51,Contrat de professionalisation. Montant estimé à partir des salaires et charges sociales versés en 2015,,2015-12-08 ,60,0
500,18,81,0,2016-01-01,DefaultPeriod,3881.08,1,1,1,1,1,1,1,1,1,1,1,1,1,3900.49,5070.63,6313.49,0.608,99841.41,,,2015-12-08 ,60,1
501,18,88,0,2016-01-01,DefaultPeriod,3586.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,,,2015-12-08 ,60,1
502,18,89,0,2016-01-01,DefaultPeriod,3586.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,,,2015-12-08 ,60,1
503,18,91,0,2016-01-01,DefaultPeriod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,,,2015-12-08 ,60,1
504,18,95,0,2016-01-01,DefaultPeriod,3881.08,1,1,1,1,1,1,1,1,1,1,1,1,1,3900.49,5070.63,6313.49,0.608,99841.41,,,2015-12-08 ,60,1
505,18,101,0,2016-01-01,DefaultPeriod,4596.07,1,1,1,1,1,1,1,1,1,0,0,0,0.75,3458.54,4496.11,5598.15,0.608,88528.94,,,2015-12-08 ,60,1
506,18,102,0,2016-01-01,DefaultPeriod,5114.58,1,1,1,1,1,1,1,1,1,1,1,1,1,5140.15,0,0,0.608,107449.74,,,2015-12-08 ,60,0
507,18,106,0,2016-04-04,DefaultPeriod,3400.78,0,0,0,1,1,1,1,0,0,0,0,0,0.33,1136.43,1477.36,1839.47,0.608,29089.35,,,2015-12-08 ,60,1
508,18,107,0,2016-01-01,DefaultPeriod,1136.87,1,1,1,1,1,1,1,1,1,1,1,1,1,1136.87,0,0,0.4,20691.03,Salaire : hypothèse max  78%SMIC,,2015-12-08 ,60,0
509,18,108,0,2016-01-01,DefaultPeriod,1136.87,0,0,0,0,0,0,0,0,1,1,1,1,0.33,378.96,0,0,0.4,6897.02,Salaire : hypothèse max  78%SMIC,"<c author=""A-VALTAT"" mod=""5247537715387680044"">Remplacement Nedjma à partir de septembre 2016</c>",2015-12-08 ,60,0
510,18,4,0,2016-01-01,DefaultPeriod,4687.99,1,1,1,1,1,1,1,1,1,1,1,1,1,4711.43,0,0,0.608,98487.73,,,2015-12-08 ,60,0
511,18,109,0,2016-01-01,DefaultPeriod,3586.35,1,1,1,1,1,1,1,1,1,1,1,1,1,3604.28,4685.57,5834.05,0.608,92259.45,,,2015-12-08 ,60,1
512,18,17,0,2016-12-01,Promotion,4395.61,0,0,0,0,0,0,0,0,0,0,0,1,0.08,369.96,0,0,0.608,7733.72,,,2015-12-08 ,60,0
513,18,49,0,2016-08-01,Promotion,4309.42,0,0,0,0,0,0,0,1,1,1,1,1,0.42,1813.55,0,0,0.608,37910.4,,,2015-12-08 ,60,0
514,18,54,0,2016-02-20,Promotion,3742.26,0,1,1,1,1,1,1,1,1,1,1,1,0.92,3449.12,0,0,0.608,72100.34,,,2015-12-08 ,60,0
515,18,64,0,2016-04-01,Promotion,3658.07,0,0,0,1,1,1,1,1,1,1,1,1,0.75,2761.84,0,0,0.608,57733.55,,,2015-12-08 ,60,0
516,18,88,0,2016-01-01,DefaultPeriod,3586.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,UNITAID - coûts opérationnels,"<c author=""A-VALTAT"" mod=""5247537725454980565"">Financement UNITAID en coûts opérationnels - 823587. Dans le cube salaire à titre indicatif (ETP=0)</c>",2015-12-08 ,60,1
517,18,89,0,2016-01-01,DefaultPeriod,3586.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,UNITAID - coûts opérationnels,"<c author=""A-VALTAT"" mod=""5247537726904110517"">Financement UNITAID en coûts opérationnels - 823605. Dans le cube salaire à titre indicatif (ETP=0)</c>",2015-12-08 ,60,1
518,18,91,0,2016-01-01,DefaultPeriod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,UNITAID - coûts opérationnels,"<c author=""A-VALTAT"" mod=""5247537727309843874"">Financement UNITAID en coûts opérationnels - 823605. Dans le cube salaire à titre indicatif (ETP=0). </c>",2015-12-08 ,60,1
519,18,22,0,2016-01-01,DefaultPeriod,4395.61,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.13,591.94,0,0,0.608,12373.96,,,2015-12-08 ,60,0
