rownames,project_id,date,type
266,68,2013-12-31 ,8
267,68,,16
268,68,,32
269,68,,64
270,68,,2048
271,69,2013-01-01 ,1
272,69,2013-12-31 ,8
273,70,2013-01-01 ,1
274,70,2013-12-31 ,8
275,71,2013-01-01 ,1
276,71,2013-12-31 ,8
277,72,2013-01-01 ,1
278,72,2014-12-31 ,8
279,73,2013-01-01 ,1
280,73,2015-12-31 ,8
281,74,2013-01-01 ,1
282,74,2016-12-31 ,8
283,75,2013-01-01 ,1
284,75,2013-12-31 ,8
285,76,2013-01-01 ,1
286,76,2015-12-31 ,8
287,77,2013-01-01 ,1
288,77,2013-12-31 ,8
289,78,2013-01-01 ,1
290,78,2013-12-31 ,8
291,79,2013-01-01 ,1
292,79,2016-12-31 ,8
293,80,2013-01-01 ,1
294,80,,2
295,80,2013-12-31 ,8
296,80,,16
297,80,,32
298,80,,64
299,80,,2048
300,81,2013-01-01 ,1
301,81,2013-01-01 ,2
302,81,2017-12-31 ,8
303,81,2009-09-09 ,16
304,81,2013-04-15 ,32
305,81,2009-05-01 ,64
306,81,2009-02-02 ,128
307,81,2014-09-15 ,512
308,81,2015-11-20 ,1024
309,82,2013-01-01 ,1
310,82,2015-12-31 ,8
311,83,2013-01-01 ,1
312,83,2014-01-01 ,2
313,83,2019-12-01 ,8
314,83,2016-08-01 ,16
315,83,2017-12-01 ,32
316,83,2014-08-01 ,128
317,83,2019-12-24 ,2048
318,84,2013-01-01 ,1
319,84,2014-12-01 ,8
320,85,2013-01-01 ,1
321,85,2013-12-31 ,8
322,86,2013-01-01 ,1
323,86,2014-12-31 ,8
324,87,2013-01-01 ,1
325,87,,2
326,87,2014-12-31 ,8
327,87,,16
328,87,,32
329,87,,64
330,87,,2048
331,88,2013-01-01 ,1
332,88,2014-12-31 ,8
333,89,2013-01-01 ,1
334,89,2015-12-31 ,8
335,90,2013-01-01 ,1
336,90,2014-12-31 ,8
337,91,2013-01-01 ,1
338,91,2015-12-31 ,8
339,92,2013-01-01 ,1
340,92,2014-12-31 ,8
341,93,2013-01-01 ,1
342,93,2013-01-01 ,2
343,93,2018-12-31 ,8
344,93,2019-01-04 ,2048
345,94,2013-01-01 ,1
346,94,2013-01-01 ,2
347,94,2013-01-01 ,4
348,94,2018-12-31 ,8
349,94,,16
350,94,,32
351,94,,64
352,94,,128
353,94,,512
354,94,2019-01-04 ,2048
355,95,2013-01-01 ,1
356,95,2015-12-31 ,8
357,96,2013-01-01 ,1
358,96,2014-01-01 ,8
359,97,2013-01-01 ,1
360,97,2015-12-31 ,8
361,98,2013-01-01 ,1
362,98,2013-12-31 ,8
363,99,2013-01-01 ,1
364,99,2016-12-31 ,8
365,100,2013-01-01 ,1
366,100,2015-12-31 ,8
367,101,2013-01-01 ,1
368,101,2015-12-31 ,8
369,102,2013-01-01 ,1
370,102,2014-12-31 ,8
371,103,2013-01-01 ,1
372,103,2015-12-31 ,8
373,104,2013-01-01 ,1
374,104,2016-12-31 ,8
375,105,2013-01-01 ,1
376,105,2013-12-31 ,8
377,106,2013-01-01 ,1
378,106,2015-12-31 ,8
379,107,2013-01-01 ,1
380,107,2015-12-31 ,8
381,108,2013-01-01 ,1
382,108,2014-12-31 ,8
383,109,2013-01-01 ,1
384,109,2013-12-31 ,8
385,110,2013-01-01 ,1
386,110,2013-12-31 ,8
387,111,2013-01-01 ,1
388,111,2013-12-31 ,8
389,112,2013-01-01 ,1
390,112,2015-12-31 ,8
391,113,2013-01-01 ,1
