rownames,session_id,collaborator_id,event_id,event_start_date,event_type,SalaireMois,ETP01,ETP02,ETP03,ETP04,ETP05,ETP06,ETP07,ETP08,ETP09,ETP10,ETP11,ETP12,ETP,Salaire13,PrimePrecarite,CongesCDD,ChargesSocialesPourcent,CoutTotalAnnuel,user_comments,comments,credte,upduser_id,PrecariteActive
954,20,101,0,2016-01-01,DefaultPeriod,4596.07,1,1,1,1,1,1,1,1,1,1,1,1,1,4619.05,6004.76,7476.59,0.608,118234.63,ok,,2016-04-12 ,60,1
955,20,102,0,2016-01-01,DefaultPeriod,5114.58,1,1,1,1,1,1,1,1,1,1,1,1,1,5140.15,0,0,0.608,107449.74,ok,,2016-04-12 ,60,0
956,20,106,0,2016-04-04,DefaultPeriod,3400.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,,,2016-04-12 ,60,1
957,20,107,0,2016-01-01,DefaultPeriod,1136,0,0,0,0,1,1,1,1,1,1,1,1,0.67,757.33,0,0,0.4,13783.46,,,2016-04-12 ,60,0
958,20,108,0,2016-01-01,DefaultPeriod,0,0,0,0,0,1,1,1,1,1,1,1,1,0.67,0,0,0,0.608,0,,,2016-04-12 ,60,0
959,20,110,0,2016-02-01,DefaultPeriod,3400.78,0,0,0,0,1,1,1,1,1,1,1,1,0.67,2284.19,2969.45,3697.29,0.608,58468.84,ok,,2016-04-12 ,60,1
960,20,10,0,2016-01-01,DefaultPeriod,3958.7,1,1,1,1,1,1,1,1,1,1,1,1,1,3978.49,0,0,0.608,83166.42,ok,,2016-04-12 ,60,0
961,20,25,0,2016-01-01,DefaultPeriod,4552,0,0,0,0,0,0,1,1,1,1,1,1,0.5,2276,0,0,0.608,47577.5,ok,,2016-04-12 ,60,0
962,20,38,0,2016-01-01,DefaultPeriod,4309.42,1,1,1,1,1,1,1,1,1,1,1,1,1,4330.97,0,0,0.608,90534.55,ok,,2016-04-12 ,60,0
963,20,42,0,2016-01-01,DefaultPeriod,6006.99,1,1,1,1,1,1,1,1,1,1,1,1,1,6037.03,0,0,0.608,126197.98,ok,,2016-04-12 ,60,0
964,20,44,0,2016-01-01,DefaultPeriod,4395.61,1,1,1,1,1,1,1,1,1,1,1,1,1,4417.59,0,0,0.608,92345.27,ok,,2016-04-12 ,60,0
965,20,88,0,2016-01-01,DefaultPeriod,3586.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,coûts opérationnels (UNITAID),,2016-04-12 ,60,1
966,20,89,0,2016-01-01,DefaultPeriod,3586.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,ok,,2016-04-12 ,60,1
967,20,91,0,2016-01-01,DefaultPeriod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,coûts opérationnels (UNITAID),,2016-04-12 ,60,1
968,20,79,0,2016-10-14,Promotion,3658.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,ok,,2016-04-12 ,60,1
969,20,118,0,2016-01-25,DefaultPeriod,3000,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0.08,0,325,404.66,0.608,5997.29,avoir avec nathalie,,2016-04-12 ,60,1
970,20,120,0,2016-04-01,DefaultPeriod,3586.35,0,0,0,1,1,1,1,1,0,0,0,0,0.42,1500.29,1950.38,2428.43,0.608,38403.19,ok,,2016-04-12 ,60,1
971,20,1,0,2016-01-01,DefaultPeriod,3204,1,1,1,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.35,12976.2,ok,,2016-04-12 ,60,0
972,20,47,0,2016-01-01,DefaultPeriod,4037.87,1,1,1,1,1,1,1,1,1,1,1,1,1,4058.06,0,0,0.608,84829.67,ok,,2016-04-12 ,60,0
973,20,50,0,2016-01-01,DefaultPeriod,3756,1,1,1,1,1,1,1,1,1,1,1,0,0.92,3443,4475.9,5572.99,0.56,85500.31,ok salaire 12 mois,,2016-04-12 ,60,1
974,20,63,0,2016-01-02,Sick,1439.848,1,1,1,1,1,1,1,1,1,1,1,1,1,1447.05,0,0,0.608,30249.08,ok,,2016-04-13 ,60,0
975,20,106,0,2016-04-04,DefaultPeriod,3400.78,0,0,0,0,0,0,0,0,0,1,1,0,0.17,572.47,744.2,926.62,0.608,14653.49,ok,,2016-04-13 ,60,1
976,20,107,0,2016-01-01,DefaultPeriod,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,ok,,2016-04-13 ,60,0
977,20,108,0,2016-01-01,DefaultPeriod,2560,0,0,0,0,0,0,1,1,1,1,1,1,0.5,1280,0,0,0.608,26757.12,ok,,2016-04-13 ,60,0
978,20,111,0,2016-01-11,DefaultPeriod,3586.35,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,0.35,1255.22,0,0,0.608,26239.17,ok,,2016-04-13 ,60,0
979,20,117,0,2016-01-01,DefaultPeriod,2565.72,1,1,1,1,1,1,1,1,1,1,1,1,1,2578.55,3352.11,4173.75,0.608,66003.56,ok,,2016-04-13 ,60,1
980,20,119,0,2016-02-24,DefaultPeriod,2565.72,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1289.27,1676.06,2086.87,0.608,33001.77,ok,,2016-04-13 ,60,1
981,20,72,0,2016-01-01,DefaultPeriod,3881.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,,,2016-04-12 ,60,1
982,20,73,0,2016-01-01,DefaultPeriod,3881.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,,,2016-04-12 ,60,1
983,20,81,0,2016-01-01,DefaultPeriod,3881.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,,,2016-04-12 ,60,1
984,20,95,0,2016-01-01,DefaultPeriod,3881.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,,,2016-04-12 ,60,1
985,20,1,0,2016-01-01,DefaultPeriod,3204,1,1,1,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.35,12976.2,ok,,2016-04-13 ,60,0
986,20,2,0,2016-01-01,DefaultPeriod,3881.08,0.25,0.25,0.25,0.25,0.25,1,1,1,1,1,1,1,0.69,2687.65,3493.94,4350.34,0.608,68796.19,ok,,2016-04-13 ,60,1
987,20,3,0,2016-01-01,DefaultPeriod,4224.92,1,1,1,0,0,0,0,0,0,1,1,1,0.5,2123.02,0,0,0.608,44379.66,ok,,2016-04-13 ,60,0
988,20,4,0,2016-01-01,DefaultPeriod,4687.99,1,1,1,1,1,1,1,1,1,1,1,1,1,4711.43,0,0,0.608,98487.73,ok,,2016-04-13 ,60,0
989,20,7,0,2016-01-01,DefaultPeriod,7550,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.16,105096,ok,,2016-04-13 ,60,0
990,20,9,0,2016-01-01,DefaultPeriod,4395.61,1,1,1,1,1,1,1,1,1,1,1,1,1,4417.59,0,0,0.608,92345.27,ok,,2016-04-13 ,60,0
991,20,10,0,2016-01-01,DefaultPeriod,3958.7,1,1,1,1,1,1,1,1,1,1,1,1,1,3978.49,0,0,0.608,83166.42,ok,,2016-04-13 ,60,0
992,20,11,0,2016-01-01,DefaultPeriod,4596.07,1,1,1,1,1,1,1,1,1,1,1,1,1,4619.05,0,0,0.608,96556.62,ok,,2016-04-13 ,60,0
993,20,12,0,2016-01-01,DefaultPeriod,13416.67,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,161000.04,ok,,2016-04-13 ,60,0
994,20,16,0,2016-01-01,DefaultPeriod,2943.92,1,1,1,1,1,1,1,1,1,1,1,1,1,2958.64,0,0,0.608,61847.41,ok,,2016-04-13 ,60,0
995,20,17,0,2016-01-01,DefaultPeriod,4309.42,1,1,1,1,1,1,1,1,1,1,1,0,0.92,3968.26,0,0,0.608,82952.46,ok,,2016-04-13 ,60,0
996,20,17,0,2016-12-01,Promotion,4395.61,0,0,0,0,0,0,0,0,0,0,0,1,0.08,369.96,0,0,0.608,7733.72,ok,,2016-04-13 ,60,0
997,20,18,0,2016-01-01,DefaultPeriod,4781.75,1,1,1,1,1,1,1,1,1,1,1,1,1,4805.66,0,0,0.608,100457.48,ok,,2016-04-13 ,60,0
998,20,19,0,2016-01-01,DefaultPeriod,6490.74,1,1,1,1,1,1,1,1,1,1,1,1,1,6523.19,0,0,0.608,136360.83,ok,,2016-04-13 ,60,0
999,20,20,0,2016-01-01,DefaultPeriod,4037.87,1,0,0,0,0,0,0,0,0,0,0,0,0.08,336.49,0,0,0.608,7033.97,ok,,2016-04-13 ,60,0
1000,20,21,0,2016-01-01,DefaultPeriod,4395.61,1,1,1,1,1,1,1,1,1,1,1,1,1,4417.59,0,0,0.608,92345.27,ok,,2016-04-13 ,60,0
1001,20,22,0,2016-01-01,DefaultPeriod,4395.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,ok,,2016-04-13 ,60,0
1002,20,23,0,2016-01-01,DefaultPeriod,4395.61,1,1,1,1,1,1,1,1,1,1,1,1,1,4417.59,0,0,0.608,92345.27,ok,,2016-04-13 ,60,0
1003,20,24,0,2016-01-01,DefaultPeriod,6531,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1306.2,0,0,0.16,19697.5,ok,,2016-04-13 ,60,0
1004,20,25,0,2016-01-01,DefaultPeriod,4552,0,0,0,0,0,0,1,1,1,1,1,1,0.5,2276,0,0,0.608,47577.5,ok,,2016-04-13 ,60,0
1005,20,26,0,2016-01-01,DefaultPeriod,4309.42,1,1,1,1,1,1,1,1,1,1,1,1,1,4330.97,0,0,0.608,90534.55,ok,,2016-04-13 ,60,0
1006,20,28,0,2016-01-01,DefaultPeriod,3958.7,1,1,1,1,1,1,1,1,1,1,1,1,1,3978.49,0,0,0.608,83166.42,ok,,2016-04-13 ,60,0
1007,20,30,0,2016-01-01,DefaultPeriod,3881.08,1,1,1,1,1,1,0,0,0,0,0,0,0.5,1940.54,2522.7,3141.04,0.608,49672.34,ok,,2016-04-13 ,60,1
1008,20,30,0,2016-07-15,Promotion,3958.7,0,0,0,0,0,0,1,1,1,1,1,1,0.5,1999.14,2598.89,3235.9,0.608,51172.43,ok,,2016-04-13 ,60,1
1009,20,33,0,2016-01-01,DefaultPeriod,6006.99,1,1,1,1,1,1,1,1,1,1,1,1,1,6037.03,0,0,0.608,126197.98,ok,,2016-04-13 ,60,0
1010,20,34,0,2016-01-01,DefaultPeriod,4309.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,ok,,2016-04-13 ,60,0
1011,20,37,0,2016-01-01,DefaultPeriod,7550,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.16,105096,ok,,2016-04-13 ,60,0
1012,20,38,0,2016-01-01,DefaultPeriod,4309.42,1,1,1,1,1,1,1,1,1,1,1,1,1,4330.97,0,0,0.608,90534.55,ok,,2016-04-13 ,60,0
1013,20,39,0,2016-01-01,DefaultPeriod,4224.92,1,1,1,1,1,1,1,1,1,1,1,1,1,4246.05,0,0,0.608,88759.33,ok,,2016-04-13 ,60,0
1014,20,42,0,2016-01-01,DefaultPeriod,6006.99,1,1,1,1,1,1,1,1,1,1,1,1,1,6037.03,0,0,0.608,126197.98,ok,,2016-04-13 ,60,0
1015,20,43,0,2016-01-01,DefaultPeriod,4037.87,1,1,1,1,1,1,1,1,1,1,1,1,1,4058.06,0,0,0.608,84829.67,ok,,2016-04-13 ,60,0
1016,20,44,0,2016-01-01,DefaultPeriod,4395.61,1,1,1,1,1,1,1,1,1,1,1,1,1,4417.59,0,0,0.608,92345.27,ok,,2016-04-13 ,60,0
1017,20,45,0,2016-01-01,DefaultPeriod,4037.87,1,1,1,1,1,1,1,1,1,1,1,1,1,4058.06,0,0,0.608,84829.67,ok,,2016-04-13 ,60,0
1018,20,46,0,2016-01-01,DefaultPeriod,4687.99,1,1,1,1,1,1,1,1,1,1,1,1,1,4711.43,0,0,0.608,98487.73,ok,,2016-04-13 ,60,0
1019,20,47,0,2016-01-01,DefaultPeriod,4037.87,1,1,1,1,1,1,1,1,1,1,1,1,1,4058.06,0,0,0.608,84829.67,ok,,2016-04-13 ,60,0
1020,20,48,0,2016-01-01,DefaultPeriod,3958.7,1,1,1,1,1,1,1,1,1,1,1,1,1,3978.49,0,0,0.608,83166.42,ok,,2016-04-13 ,60,0
1021,20,49,0,2016-01-01,DefaultPeriod,4224.92,1,1,1,1,1,1,1,0,0,0,0,0,0.58,2468.06,0,0,0.608,51592.28,ok,,2016-04-13 ,60,0
1022,20,49,0,2016-08-01,Promotion,4309.42,0,0,0,0,0,0,0,1,1,1,1,1,0.42,1813.55,0,0,0.608,37910.4,ok,,2016-04-13 ,60,0
1023,20,50,0,2016-01-01,DefaultPeriod,3756,1,1,1,1,1,1,1,1,1,1,1,0,0.92,3443,4475.9,5572.99,0.56,85500.31,ok salaire 12 mois,,2016-04-13 ,60,1
1024,20,53,0,2016-01-01,DefaultPeriod,4329.5,1,1,1,1,1,1,1,1,1,1,1,1,1,4351.15,0,0,0.608,90956.39,ok,,2016-04-13 ,60,0
1025,20,54,0,2016-01-01,DefaultPeriod,3534.16,1,0,0,0,0,0,0,0,0,0,0,0,0.08,294.51,0,0,0.608,6156.5,ok,,2016-04-13 ,60,0
1026,20,54,0,2016-02-20,Promotion,3742.26,0,1,1,1,1,1,1,1,1,1,1,1,0.92,3449.12,0,0,0.608,72100.34,ok,,2016-04-13 ,60,0
1027,20,55,0,2016-01-01,DefaultPeriod,4538.88,1,1,1,1,1,1,1,1,1,1,1,1,1,4561.57,0,0,0.608,95355.14,ok,,2016-04-13 ,60,0
1028,20,56,0,2016-01-01,DefaultPeriod,2740.69,1,1,1,1,1,1,1,1,1,1,1,1,1,2754.39,0,0,0.608,57577.83,ok,,2016-04-13 ,60,0
1029,20,57,0,2016-01-01,DefaultPeriod,3191.53,1,1,1,1,1,1,1,1,1,1,1,1,1,3207.49,0,0,0.608,67049.32,ok,,2016-04-13 ,60,0
1030,20,58,0,2016-01-01,DefaultPeriod,3540.09,1,1,1,1,1,1,1,1,1,1,1,1,1,3557.79,0,0,0.608,74372.06,ok,,2016-04-13 ,60,0
1031,20,59,0,2016-01-01,DefaultPeriod,7314,1,1,1,1,1,1,1,1,1,1,1,1,1,0,9508.2,11838.76,0.16,126573.35,ok,,2016-04-13 ,60,1
1032,20,61,0,2016-01-01,DefaultPeriod,2560.83,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,49660.84,ok,,2016-04-13 ,60,0
1033,20,62,0,2016-01-01,DefaultPeriod,2740.69,1,1,1,1,1,1,1,1,1,1,1,1,1,2754.39,0,0,0.608,57577.83,ok,,2016-04-13 ,60,0
1034,20,63,0,2016-01-01,DefaultPeriod,2740.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,ok,,2016-04-13 ,60,0
1035,20,63,32,2016-01-02,Sick,1439.848,1,1,1,1,1,1,1,1,1,1,1,1,1,1447.05,0,0,0.608,30249.08,ok,,2016-04-13 ,60,0
1036,20,71,0,2016-01-01,DefaultPeriod,3881.08,1,1,1,1,1,1,1,1,1,0,0,0,0.75,2920.51,3796.67,4727.27,0.608,74756.88,ok,,2016-04-13 ,60,1
1037,20,72,0,2016-01-01,DefaultPeriod,3881.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,,,2016-04-13 ,60,1
1038,20,73,0,2016-01-01,DefaultPeriod,3881.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,,,2016-04-13 ,60,1
1039,20,75,0,2016-01-04,DefaultPeriod,2565.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,ok,,2016-04-13 ,60,1
1040,20,76,0,2016-01-01,DefaultPeriod,1457,1,1,1,1,1,1,1,0,0,0,0,0,0.58,849.92,0,0,0.38,15247.51,ok,,2016-04-13 ,60,0
1041,20,79,0,2016-01-01,DefaultPeriod,3586.35,1,1,1,1,0,0,0,0,0,0,0,0,0.33,1195.45,1554.09,1935.01,0.608,30600.16,ok,,2016-04-13 ,60,1
1042,20,79,0,2016-10-14,Promotion,3658.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,ok,,2016-04-13 ,60,1
1043,20,80,0,2016-01-01,DefaultPeriod,3881.08,1,1,1,1,1,1,1,1,1,1,1,1,1,3900.49,5070.63,6313.49,0.608,99841.41,ok,,2016-04-13 ,60,1
1044,20,81,0,2016-01-01,DefaultPeriod,3881.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,,,2016-04-13 ,60,1
1045,20,83,0,2016-01-20,DefaultPeriod,3586.35,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0.17,597.73,777.04,967.5,0.608,15300.07,ok,,2016-04-13 ,60,1
1046,20,88,0,2016-01-01,DefaultPeriod,3586.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,coûts opérationnels (UNITAID),,2016-04-13 ,60,1
1047,20,89,0,2016-01-01,DefaultPeriod,3586.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,ok,,2016-04-13 ,60,1
1048,20,91,0,2016-01-01,DefaultPeriod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,coûts opérationnels (UNITAID),,2016-04-13 ,60,1
1049,20,93,0,2016-01-01,DefaultPeriod,4564,1,1,1,1,1,1,1,1,1,1,1,1,1,4564,5933.2,7387.49,0,72652.69,ok (contrat expat car en cours d'impatriation,,2016-04-13 ,60,1
1050,20,95,0,2016-01-01,DefaultPeriod,3881.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,,,2016-04-13 ,60,1
1051,20,101,0,2016-01-01,DefaultPeriod,4596.07,1,1,1,1,1,1,1,1,1,1,1,1,1,4619.05,6004.76,7476.59,0.608,118234.63,ok,,2016-04-13 ,60,1
1052,20,102,0,2016-01-01,DefaultPeriod,5114.58,1,1,1,1,1,1,1,1,1,1,1,1,1,5140.15,0,0,0.608,107449.74,ok,,2016-04-13 ,60,0
1053,20,103,0,2016-03-27,DefaultPeriod,3586.35,0,0,1,1,0,0,0,0,0,0,0,0,0.17,597.73,777.04,967.5,0.608,15300.07,ok,,2016-04-13 ,60,1
1054,20,106,0,2016-04-04,DefaultPeriod,3400.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,,,2016-04-13 ,60,1
1055,20,107,0,2016-01-01,DefaultPeriod,1136,0,0,0,0,1,1,1,1,1,1,1,1,0.67,757.33,0,0,0.4,13783.46,,,2016-04-13 ,60,0
1056,20,108,0,2016-01-01,DefaultPeriod,0,0,0,0,0,1,1,1,1,1,1,1,1,0.67,0,0,0,0.608,0,,,2016-04-13 ,60,0
1057,20,109,0,2016-01-01,DefaultPeriod,3586.35,1,1,1,1,1,1,1,1,1,1,1,1,1,3604.28,4685.57,5834.05,0.608,92259.45,ok,,2016-04-13 ,60,1
1058,20,110,0,2016-02-01,DefaultPeriod,3400.78,0,0,0,0,1,1,1,1,1,1,1,1,0.67,2284.19,2969.45,3697.29,0.608,58468.84,ok,,2016-04-13 ,60,1
1059,20,111,0,2016-01-11,DefaultPeriod,3586.35,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,0.35,1257.02,0,0,0.608,26276.67,ok,,2016-04-13 ,60,0
1060,20,112,0,2016-01-01,DefaultPeriod,3881.08,1,1,1,1,1,1,1,1,0,0,0,0,0.67,0,3372.01,4198.53,0.608,62224.45,ok,,2016-04-13 ,60,1
1061,20,113,0,2016-05-01,DefaultPeriod,3881.08,0,0,0,0,1,1,1,1,1,1,0,0,0.5,1953.48,2539.52,3161.98,0.608,50003.49,ok,,2016-04-13 ,60,1
1062,20,114,0,2016-05-02,DefaultPeriod,3881.08,0,0,0,0,1,1,1,1,1,1,1,1,0.67,2606.79,3388.83,4219.47,0.608,66726.52,ok,,2016-04-13 ,60,1
1063,20,115,0,2016-03-01,DefaultPeriod,3586.35,0,0,1,1,1,0,0,0,0,0,0,0,0.25,896.59,1165.56,1451.26,0.608,22950.12,ok,,2016-04-13 ,60,1
1064,20,116,0,2016-04-05,DefaultPeriod,3881.08,0,0,0,1,1,0,0,0,0,0,0,0,0.17,646.85,840.9,1047.01,0.608,16557.45,ok,,2016-04-13 ,60,1
1065,20,117,0,2016-01-01,DefaultPeriod,2565.72,1,1,1,1,1,1,0,0,0,0,0,0,0.5,1282.86,1667.72,2076.49,0.608,32837.6,ok,,2016-04-13 ,60,1
1066,20,118,0,2016-01-25,DefaultPeriod,3000,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0.08,0,325,404.66,0.608,5997.29,avoir avec nathalie,,2016-04-13 ,60,1
1067,20,119,0,2016-02-24,DefaultPeriod,2565.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,ok,,2016-04-13 ,60,1
1068,20,120,0,2016-04-01,DefaultPeriod,3586.35,0,0,0,1,1,1,1,1,0,0,0,0,0.42,1500.29,1950.38,2428.43,0.608,38403.19,ok,,2016-04-13 ,60,1
