rownames,project_zone_id,country_id,region_id,place_id,project_id
767,3059,7,1142,,715
768,3060,7,1145,,715
769,3061,7,1143,,715
770,3062,7,1144,,715
771,3063,7,1146,,715
772,3064,7,1148,,715
773,3065,7,1147,,715
774,3066,7,1148,22,768
775,3077,46,1608,28,809
776,3089,10,2080,35,1040
777,3108,4,423,,1057
778,3109,4,417,,1057
779,3110,4,414,,1057
780,3115,25,2531,146,953
781,3149,12,2092,39,724
782,3175,12,2092,39,1041
783,3184,10,,,548
784,3188,7,1146,21,852
785,3228,1,543,149,1029
786,3233,46,1608,28,661
787,3308,82,2693,147,877
788,3309,1,541,87,1051
789,3311,1,,,317
790,3325,14,1483,,1027
791,3326,13,3234,,1028
792,3327,13,3252,,1028
793,3328,5,,,1002
794,3338,1,541,8,517
795,3345,15,,,560
796,3346,282,,,560
797,3354,10,2080,35,83
798,3355,285,,,826
799,3356,22,1962,32,401
800,3357,13,3270,52,249
801,3358,1,543,110,996
802,3359,1,543,66,996
803,3360,1,543,11,1037
804,3361,1,543,66,1037
805,3362,1,543,110,1037
806,3363,10,2081,36,1000
807,3364,3,,,1059
808,3365,1,,,1059
809,3366,8,,,993
810,3367,13,,,993
811,3368,285,,,879
812,3379,285,,,703
813,3383,9,2941,47,868
814,3385,8,,,514
815,3386,1,,,514
816,3458,10,,,130
817,3459,4,423,14,511
818,3468,13,,,779
819,3469,15,,,779
820,3471,22,1962,32,713
821,3474,22,1962,32,598
822,3480,10,,,573
823,3494,27,,,988
824,3495,118,,,988
825,3496,21,,,988
826,3497,1,543,110,991
827,3498,1,543,66,991
828,3541,8,1893,29,859
829,3577,10,2082,107,972
830,3578,8,1891,108,973
831,3579,5,2825,152,1060
832,3585,1,539,,770
833,3586,1,541,,770
834,3587,9,2941,47,782
835,3588,8,1893,29,807
836,3599,1,541,127,1035
837,3600,14,1461,112,1039
838,3601,31,522,99,1044
839,3604,9,2932,143,1065
840,3605,9,2932,144,1065
841,3606,9,2932,145,1065
842,3607,9,2940,160,1071
843,3614,16,978,137,886
844,3699,181,,,1116
845,3700,7,1146,21,1047
846,3701,2,845,150,982
847,3702,3,898,19,981
848,3703,94,2710,42,980
849,3725,13,3270,52,429
850,3744,285,,,1099
851,3787,12,,,735
852,3788,93,,,735
