rownames,report_view_id,report_layout,is_public,is_default,report_id,report_mode_id,created_by_id,name_fr,name_en,created,modified,code,order,last_modification_by_id,is_public_editable,lines_number_to_display_in_grid
46,50,"<?xml version=""1.0"" encoding=""utf-16""?> <GridLayout xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <Fields>     <GridFieldLayoutProperties Operation=""None"" FieldName=""session"" SortOrder=""None"" Visi",1,1,17,2,160,Défaut,Default,2021-05-04 ,2021-05-04 ,d7ef1390-b765-4406-bce2-bc143d41b2f6,1,160,0,
47,51,"<?xml version=""1.0"" encoding=""utf-16""?> <GridLayout xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <Fields>     <GridFieldLayoutProperties Operation=""None"" FieldName=""session"" SortOrder=""None"" Visi",1,1,16,2,160,Défaut,Default,2021-05-04 ,2021-05-06 ,a3236177-0ca9-459e-aa6c-c8b08b8e8047,1,160,0,
48,53,"<?xml version=""1.0"" encoding=""utf-16""?> <GridLayout xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <Fields>     <GridFieldLayoutProperties Operation=""None"" FieldName=""id"" SortOrder=""Ascending"" Visi",1,1,18,2,160,Défaut,Default,2021-05-05 ,2021-05-06 ,04066bd0-0ee7-4f6b-891b-d8cbb5971970,1,160,0,
49,54,"<?xml version=""1.0"" encoding=""utf-16""?> <GridLayout xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <Fields>     <GridFieldLayoutProperties Operation=""None"" FieldName=""id"" SortOrder=""Ascending"" Visi",1,1,19,2,160,Défaut,Default,2021-05-05 ,2021-05-06 ,8e039969-b5c1-4697-8adc-70ee80c41989,1,160,0,
50,55,"<?xml version=""1.0"" encoding=""utf-16""?> <GridLayout xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <Fields>     <GridFieldLayoutProperties Operation=""None"" FieldName=""id"" SortOrder=""None"" VisibleIn",1,0,19,2,160,Groupé par Thème,Group by Theme,2021-05-05 ,2021-05-06 ,dfde8990-9643-47fb-9394-cef3c20456b4,2,160,0,
51,56,"<?xml version=""1.0"" encoding=""utf-16""?> <GridLayout xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <Fields>     <GridFieldLayoutProperties Operation=""None"" FieldName=""id"" SortOrder=""Ascending"" Visi",1,1,20,2,160,Défaut,Default,2021-05-05 ,2021-05-06 ,f1c4ef72-1d5e-45c2-863a-6d5b70798154,1,160,0,
52,57,"<?xml version=""1.0"" encoding=""utf-16""?> <GridLayout xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <Fields>     <GridFieldLayoutProperties Operation=""None"" FieldName=""id"" SortOrder=""None"" VisibleIn",1,0,20,2,160,Groupé par Famille & Cat.,Group by Family & Cat.,2021-05-05 ,2021-05-06 ,7fa78e18-957e-4068-836c-ed5c72cc68ff,2,160,0,
53,58,"<?xml version=""1.0"" encoding=""utf-16""?> <GridLayout xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <Fields>     <GridFieldLayoutProperties Operation=""None"" FieldName=""id"" SortOrder=""None"" VisibleIn",1,1,21,2,160,Défaut,Default,2021-05-06 ,2021-05-06 ,eecaf992-58f1-4249-b32b-c12d4e27ea64,1,160,0,
54,59,"<?xml version=""1.0"" encoding=""utf-16""?> <GridLayout xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <Fields>     <GridFieldLayoutProperties Operation=""None"" FieldName=""id"" SortOrder=""None"" VisibleIn",1,0,21,2,160,Groupé par Famille & Cat.,Group by Family & Cat.,2021-05-06 ,2021-05-06 ,377ea09e-08a1-4d1c-a1bb-8a080fe7c43d,2,160,0,
55,61,"<?xml version=""1.0"" encoding=""utf-16""?> <GridLayout xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <Fields>     <GridFieldLayoutProperties Operation=""None"" FieldName=""session"" SortOrder=""None"" Visi",1,1,22,2,160,Défaut,Default,2021-05-07 ,2021-05-07 ,f57a35bc-1089-4d6b-b40f-bc70ea31edb7,1,160,0,
56,62,"<?xml version=""1.0"" encoding=""utf-16""?> <GridLayout xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <Fields>     <GridFieldLayoutProperties Operation=""None"" FieldName=""session"" SortOrder=""None"" Visi",1,1,24,2,160,Défaut,Default,2021-05-07 ,2021-05-07 ,b3bff604-8482-4ac5-9500-7a9763bc5e61,1,160,0,
57,63,"<?xml version=""1.0"" encoding=""utf-16""?> <ArrayOfFieldLayoutProperties xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <FieldLayoutProperties FieldName=""période"" Area=""ColumnArea"" SortOrder=""Ascending",0,0,1,1,176,Rapport CT,,2021-06-14 ,2021-06-14 ,de4b1cfc-a76d-4514-b20e-75ce48712abe,2,176,0,
58,64,"<?xml version=""1.0"" encoding=""utf-16""?> <ArrayOfFieldLayoutProperties xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <FieldLayoutProperties FieldName=""période"" Area=""ColumnArea"" SortOrder=""Ascending",0,0,1,1,185,Rapport CT,,2021-06-17 ,2021-06-17 ,628b6f87-9066-4284-b2de-66a85bf4a0dd,1,185,0,
59,65,"<?xml version=""1.0"" encoding=""utf-16""?> <GridLayout xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <Fields>     <GridFieldLayoutProperties Operation=""None"" FieldName=""id"" SortOrder=""Ascending"" Visi",1,1,29,2,160,Défaut,Default,2021-07-28 ,2021-07-28 ,908c43a2-7fe7-4084-985f-bce63d925e0a,1,160,0,20
60,67,"<?xml version=""1.0"" encoding=""utf-16""?> <GridLayout xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <Fields>     <GridFieldLayoutProperties Operation=""None"" FieldName=""Code_projet_refMultiText"" Sort",1,1,30,2,160,Défaut,Default,2021-07-29 ,2021-07-29 ,7b45bf8c-4524-4a60-aea0-6f46051492c5,1,160,0,20
61,68,"<?xml version=""1.0"" encoding=""utf-16""?> <GridLayout xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <Fields>     <GridFieldLayoutProperties Operation=""None"" FieldName=""code_financeur_refMultiText"" S",1,1,28,2,160,Défaut,Default,2021-07-30 ,2021-07-30 ,a5dd8d37-4d70-431c-b2bb-c5baf7bc46a7,1,160,0,20
62,69,"<?xml version=""1.0"" encoding=""utf-16""?> <GridLayout xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <Fields>     <GridFieldLayoutProperties Operation=""None"" FieldName=""code_financeur_refMultiText"" S",1,1,31,2,160,Défaut,Default,2021-07-30 ,2021-07-30 ,8f9a956e-69d9-488a-9802-064c6a06d3dd,1,160,0,20
63,70,"<?xml version=""1.0"" encoding=""utf-16""?> <GridLayout xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">   <Fields>     <GridFieldLayoutProperties Operation=""None"" FieldName=""Exercice_refMultiYear"" SortOrd",1,1,32,2,160,Défaut,Default,2021-07-30 ,2021-07-31 ,9d224a13-d3dd-4095-bee3-de8bd64dbeda,1,160,0,20
