rownames,session_id,project_id,event_id,article_id,named_aticle_id,theme_id,sub_theme_id,user_comments,event_year,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,qyear,unit_price,unit_price_cur,unit_price_eur,total_cost,real_total_cost,real_total_cost_manual,financer_id,is_in_accounting,comments,credte,creuser_id,upddte,upduser_id,refqyear,refunit_price_eur,reftotal_cost,comptage_jours_qyear
28,1,4,@T_4_9712013,97,1,1,1,,2013,-16,-7,-12,-17,-2,-19,-14,-0,-7,-7,-15,-11,,,0,EUR,0,0,105410,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,127
29,1,4,@T_4_9712014,97,1,1,1,,2014,-22,-4,-10,-8,-15,-5,-13,-0,-0,-0,-0,-0,,,0,EUR,0,0,63910,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,77
30,1,4,@T_4_9732014,97,3,1,1,,2014,-0,-0,-0,-0,-0,-0,-0,-3,-15,-3,-3.5,-6,,,0,EUR,0,0,25315,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,30.5
31,1,4,@T_4_9732015,97,3,1,1,,2015,-11,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,11
32,1,4,2f4198c0-bf8c-45b7-b1b1-ffce90a5d72f,97,0,1,1,,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830,EUR,830,0,0,0,0,0,,2013-12-10 ,1,2013-12-10 ,1,,,,
33,1,5,@T_5_97322013,97,32,1,1,,2013,-0,-1,-0.75,-0,-0,-0,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,1452.5,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,1.75
34,1,6,@A_6_2062013,206,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,1254.6599999999999,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
35,1,6,@T_6_97242013,97,24,1,1,,2013,-1,-2,-1,-0.5,-0,-0,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,3735,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,4.5
36,1,6,@T_6_97322013,97,32,1,1,,2013,-13.5,-8,-4.25,-0,-0,-0,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,21372.5,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,25.75
37,1,6,@T_6_97332013,97,33,1,1,,2013,-0,-0,-0,-1,-0,-0,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,830,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,1
38,1,7,@A_7_2062013,206,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,276,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
39,1,7,@T_7_97332013,97,33,1,1,,2013,-1,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,830,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,1
40,1,8,@A_8_2062013,206,,25,86,,2013,,,,,,,,,,,,,,,0,EUR,0,0,2427.73,0,0,0,,2021-10-02 ,60,2021-10-02 ,60,,,,
41,1,8,@T_8_97202013,97,20,1,1,,2013,-12,-16,-8,-0,-0,-0,-0,-0,-0,-0,-0,-0,,,0,EUR,0,0,29880,0,0,1,,2021-10-02 ,60,2021-10-02 ,60,,,,36
