rownames,session_id,collaborator_id,event_id,event_start_date,event_type,SalaireMois,ETP01,ETP02,ETP03,ETP04,ETP05,ETP06,ETP07,ETP08,ETP09,ETP10,ETP11,ETP12,ETP,Salaire13,PrimePrecarite,CongesCDD,ChargesSocialesPourcent,CoutTotalAnnuel,user_comments,comments,credte,creuser_id,upddte,upduser_id,PrecariteActive
336,11,68,0,2015-01-01,DefaultPeriod,4203.91,1,1,0,0,0,0,0,0,0,0,0,0,0.17,707.66,919.96,1145.45,0.608,18114.07,,,2014-12-11 ,60,2015-01-09 ,60,1
337,11,71,0,2015-01-01,DefaultPeriod,3568.51,1,1,0.5,0,0,0,0,0,0,0,0,0,0.21,750.87,976.14,1215.4,0.608,19220.26,,,2014-12-22 ,60,2014-12-22 ,60,1
338,11,72,0,2015-01-01,DefaultPeriod,3861.78,0,0,0,1,1,1,1,1,1,1,1,1,0.75,2925.3,3802.89,4735.01,0.608,74879.38,a partir d'avril car Jessica Saayad et Ian de janvier à mi avril,,2014-12-11 ,60,2014-12-22 ,60,1
339,11,73,0,2015-01-01,DefaultPeriod,3861.78,0,0,0,1,1,1,1,1,1,1,1,1,0.75,2925.3,3802.89,4735.01,0.608,74879.38,a partir d'avril car Jessica Saayad et Ian de janvier à mi avril,,2014-12-11 ,60,2014-12-22 ,60,1
340,11,75,0,2015-01-01,DefaultPeriod,2552.95,0,0,0,0,0,0,1,1,0,0,0,0,0.17,429.75,558.67,695.61,0.608,11000.31,,,2014-12-11 ,60,2014-12-11 ,60,1
341,11,76,0,2015-01-01,DefaultPeriod,1044,1,1,1,1,1,1,1,1,1,1,1,1,1,1054.44,0,0,0.608,22042.01,,,2014-12-11 ,60,2014-12-11 ,60,0
342,11,77,0,2015-01-01,DefaultPeriod,1044,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,20346.47,,,2014-12-11 ,60,2014-12-11 ,60,0
343,11,78,0,2015-01-01,DefaultPeriod,3568.51,1,1,1,1,1,1,1,1,1,1,1,1,1,3604.19,4685.45,5833.91,0.608,92257.22,,,2014-12-22 ,60,2014-12-22 ,60,1
344,11,79,0,2015-01-01,DefaultPeriod,3568.51,1,1,1,0.5,0,0,0,0,0,0,0,0,0.29,1051.22,1366.59,1701.56,0.608,26908.35,Consultant ext,,2014-12-22 ,60,2015-01-05 ,60,1
345,11,80,0,2015-01-01,DefaultPeriod,3861.78,1,1,1,1,1,1,1,1,1,1,1,0,0.92,3575.36,4647.97,5787.24,0.608,91519.24,,,2015-01-09 ,60,2015-01-09 ,60,1
346,11,81,0,2015-01-01,DefaultPeriod,3861.78,1,1,1,1,1,1,1,1,1,1,1,1,1,3900.4,5070.52,6313.35,0.608,99839.18,,,2015-01-09 ,60,2015-01-09 ,60,1
347,11,82,0,2015-03-02,DefaultPeriod,3861.78,0,0,1,1,1,1,1,1,1,1,1,1,0.83,3250.33,4225.43,5261.13,0.608,83199.32,,,2015-01-09 ,60,2015-01-09 ,60,1
348,13,1,0,2015-01-01,DefaultPeriod,4132,0,0,0,1,1,1,1,1,1,1,1,1,0.75,0,0,0,0,37188,salaire validé avec note de débit,,2015-02-24 ,60,2015-02-24 ,60,0
349,13,2,0,2015-01-01,DefaultPeriod,3568.51,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0.21,750.87,976.14,1215.4,0.608,19220.26,,,2015-02-24 ,60,2015-02-24 ,60,1
350,13,2,0,2015-06-01,Promotion,3639.88,0,0,0,0,0,0.5,1,1,1,1,1,1,0.54,1991.32,2588.71,3223.23,0.608,50972.1,,,2015-02-24 ,60,2015-02-24 ,60,1
351,13,3,0,2015-01-01,DefaultPeriod,4017.79,1,1,1,1,1,1,1,1,1,1,1,1,1,4057.97,0,0,0.608,84827.76,,,2015-02-24 ,60,2015-02-24 ,60,0
352,13,4,0,2015-01-01,DefaultPeriod,4573.21,1,1,1,1,1,1,1,0,0,0,0,0,0.58,2694.38,0,0,0.608,56323.37,,,2015-02-24 ,60,2015-02-24 ,60,0
353,13,4,0,2015-08-01,Promotion,4664.67,0,0,0,0,0,0,0,1,1,1,1,1,0.42,1963.05,0,0,0.608,41035.57,,,2015-02-24 ,60,2015-02-24 ,60,0
354,13,7,0,2015-01-01,DefaultPeriod,9644.35,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,115732.2,,,2015-02-24 ,60,2015-04-09 ,60,0
355,13,8,0,2015-01-01,DefaultPeriod,5736,0,0,0,0,1,1,1,1,1,1,1,1,0.67,3824,0,0,0,49712,salaire validé avec note de débit,,2015-02-24 ,60,2015-04-08 ,60,0
356,13,9,0,2015-01-01,DefaultPeriod,4373.75,1,1,1,1,1,1,1,1,1,1,1,1,1,4417.49,0,0,0.608,92343.16,,,2015-02-24 ,60,2015-02-24 ,60,0
357,13,10,0,2015-01-01,DefaultPeriod,3861.78,1,1,1,1,1,1,0,0,0,0,0,0,0.5,1950.2,0,0,0.608,40766.96,,,2015-02-24 ,60,2015-02-24 ,60,0
358,13,10,0,2015-07-15,Promotion,3939.01,0,0,0,0,0,0,1,1,1,1,1,1,0.5,1989.2,0,0,0.608,41582.24,,,2015-02-24 ,60,2015-02-24 ,60,0
359,13,11,0,2015-01-01,DefaultPeriod,4203.91,1,1,1,1,1,1,1,1,1,1,1,1,1,4245.95,0,0,0.608,88757.32,,,2015-02-24 ,60,2015-02-24 ,60,0
360,13,12,0,2015-01-01,DefaultPeriod,10562,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,126744,,,2015-02-24 ,60,2015-02-24 ,60,0
361,13,16,0,2015-01-01,DefaultPeriod,2929.28,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,2366.86,0,0,0.608,49476.81,,,2015-02-24 ,60,2015-02-24 ,60,0
362,13,17,0,2015-01-01,DefaultPeriod,4287.99,1,1,1,1,1,1,1,1,1,1,1,1,1,4330.87,0,0,0.608,90532.51,,,2015-02-24 ,60,2015-02-24 ,60,0
363,13,18,0,2015-01-01,DefaultPeriod,4757.97,1,1,1,1,1,1,1,1,1,1,1,1,1,4805.55,0,0,0.608,100455.22,,,2015-02-24 ,60,2015-02-24 ,60,0
364,13,19,0,2015-01-01,DefaultPeriod,6458.45,1,1,1,1,1,1,1,1,1,1,1,1,1,6523.03,0,0,0.608,136357.5,,,2015-02-24 ,60,2015-02-24 ,60,0
365,13,20,0,2015-01-01,DefaultPeriod,4017.79,0,0,0,0,0,0,1,1,1,1,1,1,0.5,2028.98,0,0,0.608,42413.88,,,2015-02-24 ,60,2015-02-24 ,60,0
366,13,21,0,2015-01-01,DefaultPeriod,4373.75,1,1,0,0,0,0,0,0,0,0,0,0,0.17,736.25,0,0,0.608,15390.54,,,2015-02-24 ,60,2015-03-10 ,60,0
367,13,21,22,2015-03-01,CareerChange,4757.97,0,0,1,1,1,1,1,1,1,1,1,1,0.83,4004.63,0,0,0.608,83712.69,,,2015-03-10 ,60,2015-03-10 ,60,0
368,13,22,0,2015-01-01,DefaultPeriod,4373.75,0,0,0,0,0,0,0,0,0,1,1,1,0.25,1104.37,0,0,0.608,23085.78,,,2015-02-24 ,60,2015-02-24 ,60,0
369,13,23,0,2015-01-01,DefaultPeriod,4373.75,1,1,1,1,1,1,1,1,1,1,1,1,1,4417.49,0,0,0.608,92343.16,,,2015-02-24 ,60,2015-02-24 ,60,0
370,13,24,0,2015-01-01,DefaultPeriod,4573.21,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.03,153.97,0,0,0.608,3218.49,,,2015-02-24 ,60,2015-02-24 ,60,0
371,13,24,0,2015-03-01,Promotion,4664.67,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,1,1,0.37,1727.48,0,0,0.608,36111.29,,,2015-02-24 ,60,2015-02-24 ,60,0
372,13,25,0,2015-01-01,DefaultPeriod,6247,1,1,1,1,1,1,1,1,1,1,1,1,1,6247,0,0,0,81211,,,2015-02-24 ,60,2015-02-24 ,60,0
373,13,26,0,2015-01-01,DefaultPeriod,4203.91,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0,0.73,3113.7,0,0,0.608,65088.7,,,2015-02-24 ,60,2015-02-24 ,60,0
374,13,26,0,2015-12-01,Promotion,4287.99,0,0,0,0,0,0,0,0,0,0,0,0.8,0.07,288.72,0,0,0.608,6035.5,,,2015-02-24 ,60,2015-02-24 ,60,0
375,13,28,0,2015-01-01,DefaultPeriod,3939.01,0,0,0,0,1,1,1,1,1,1,1,1,0.67,2652.27,0,0,0.608,55442.99,,,2015-02-24 ,60,2015-02-24 ,60,0
376,13,28,20,2015-01-02,Maternity,1470.21,1,1,1,1,0,0,0,0,0,0,0,0,0.33,494.97,0,0,0.608,10346.87,Congé mat du 17/12/2014 au 8/4/2015,,2015-02-24 ,60,2015-02-24 ,60,0
377,13,30,0,2015-01-01,DefaultPeriod,3861.78,1,1,1,0.5,0,0,0,0,0,0,0,0,0.29,1137.62,1478.9,1841.39,0.608,29119.75,Consultant ext,,2015-02-24 ,60,2015-02-24 ,60,1
378,13,33,0,2015-01-01,DefaultPeriod,5603.53,1,1,1,1,1,1,1,1,1,1,1,1,1,5659.56,0,0,0.608,118307.54,,,2015-02-24 ,60,2015-02-24 ,60,0
379,13,34,0,2015-01-01,DefaultPeriod,4287.99,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.35,1515.8,0,0,0.608,31686.36,Congé mat du 26/11/2014 au 25/5/2014,,2015-02-24 ,60,2015-04-28 ,60,0
380,13,34,21,2015-01-02,Maternity,1735.1129,1,1,1,1,1,0,0,0,0,0,0,0,0.42,730.19,0,0,0.608,15263.96,,,2015-02-24 ,60,2015-02-24 ,60,0
381,13,37,0,2015-01-01,DefaultPeriod,9644.35,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,115732.2,,,2015-02-24 ,60,2015-04-09 ,60,0
382,13,38,0,2015-01-01,DefaultPeriod,4203.91,1,1,1,1,1,1,1,1,1,1,1,0,0.92,3892.12,0,0,0.608,81360.88,,,2015-02-24 ,60,2015-02-24 ,60,0
383,13,38,0,2015-12-01,Promotion,4287.99,0,0,0,0,0,0,0,0,0,0,0,1,0.08,360.91,0,0,0.608,7544.38,,,2015-02-24 ,60,2015-02-24 ,60,0
384,13,39,0,2015-01-01,DefaultPeriod,3939.01,1,1,0,0,0,0,0,0,1,1,1,1,0.5,1989.2,2585.96,3219.81,0.608,50917.91,,,2015-02-24 ,60,2015-04-07 ,60,1
385,13,42,0,2015-01-01,DefaultPeriod,5603.53,1,1,1,1,1,1,1,1,1,1,1,1,1,5659.56,0,0,0.608,118307.54,,,2015-02-24 ,60,2015-02-24 ,60,0
386,13,43,0,2015-01-01,DefaultPeriod,4017.79,1,1,1,1,1,1,1,1,1,1,1,1,1,4057.97,0,0,0.608,84827.76,,,2015-02-24 ,60,2015-02-24 ,60,0
387,13,44,0,2015-01-01,DefaultPeriod,4373.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,,,2015-03-10 ,60,2015-03-10 ,60,0
388,13,44,23,2015-04-13,CareerChange,4757.97,0,0,0,0.5,1,1,1,1,1,1,1,1,0.71,3403.93,0,0,0.608,71155.77,,,2015-03-10 ,60,2015-04-08 ,60,0
389,13,45,0,2015-01-01,DefaultPeriod,3939.01,1,1,1,1,1,1,1,1,1,0,0,0,0.75,2983.8,0,0,0.608,62373.36,,,2015-02-24 ,60,2015-02-24 ,60,0
390,13,45,0,2015-10-11,Promotion,4017.79,0,0,0,0,0,0,0,0,0,1,1,1,0.25,1014.49,0,0,0.608,21206.93,,,2015-02-24 ,60,2015-02-24 ,60,0
391,13,46,0,2015-01-01,DefaultPeriod,4573.21,1,1,1,1,1,1,1,0,0,0,0,0,0.58,2694.38,0,0,0.608,56323.37,,,2015-02-24 ,60,2015-02-24 ,60,0
392,13,46,0,2015-08-01,Promotion,4664.67,0,0,0,0,0,0,0,1,1,1,1,1,0.42,1963.05,0,0,0.608,41035.57,,,2015-02-24 ,60,2015-02-24 ,60,0
393,13,47,0,2015-01-01,DefaultPeriod,4017.79,0.6,0.6,0.6,0.6,0.6,0.6,1,1,1,1,1,1,0.8,3246.37,0,0,0.608,67862.2,,,2015-02-24 ,60,2015-02-24 ,60,0
394,13,48,0,2015-01-01,DefaultPeriod,3861.78,1,1,1,1,1,1,1,0,0,0,0,0,0.58,2275.23,0,0,0.608,47561.44,,,2015-02-24 ,60,2015-02-24 ,60,0
395,13,48,0,2015-08-05,Promotion,3939.01,0,0,0,0,0,0,0,1,1,1,1,1,0.42,1657.67,0,0,0.608,34651.87,,,2015-02-24 ,60,2015-02-24 ,60,0
396,13,49,0,2015-01-01,DefaultPeriod,3939.01,1,1,1,1,1,1,1,1,1,1,1,1,1,3978.4,0,0,0.608,83164.47,,,2015-02-24 ,60,2015-02-24 ,60,0
397,13,50,0,2015-01-01,DefaultPeriod,4340,1,1,1,1,1,1,1,1,1,1,1,1,1,4340,5642,7024.91,0.608,111091.75,,,2015-02-24 ,60,2015-02-24 ,60,1
398,13,51,0,2015-01-01,DefaultPeriod,9644.35,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,34719.66,,,2015-02-24 ,60,2015-04-09 ,60,0
399,13,52,0,2015-01-01,DefaultPeriod,5603.53,1,1,1,1,1,1,1,1,1,1,1,1,1,5659.56,0,0,0.608,118307.54,,,2015-02-24 ,60,2015-02-24 ,60,0
400,13,53,0,2015-01-01,DefaultPeriod,4307.96,1,1,1,1,1,1,1,1,1,1,1,1,1,4351.04,0,0,0.608,90954.14,,,2015-02-24 ,60,2015-02-24 ,60,0
401,13,54,0,2015-01-01,DefaultPeriod,3516.58,1,1,1,1,1,1,1,1,1,1,1,1,1,3551.75,0,0,0.608,74245.7,,,2015-02-24 ,60,2015-02-24 ,60,0
402,13,55,0,2015-01-01,DefaultPeriod,4516.3,1,1,1,1,1,1,1,1,1,1,1,1,1,4561.46,0,0,0.608,95352.82,,,2015-02-24 ,60,2015-02-24 ,60,0
403,13,56,0,2015-01-01,DefaultPeriod,2727.06,1,1,1,1,1,1,1,1,1,1,1,1,1,2754.33,0,0,0.608,57576.53,,,2015-02-24 ,60,2015-02-24 ,60,0
404,13,57,0,2015-01-01,DefaultPeriod,3175.66,1,1,1,1,1,1,1,1,1,1,1,1,1,3207.42,0,0,0.608,67047.84,,,2015-02-24 ,60,2015-02-24 ,60,0
405,13,58,0,2015-01-01,DefaultPeriod,3522.48,1,1,1,1,1,1,1,1,1,1,1,1,1,3557.7,0,0,0.608,74370.26,,,2015-02-24 ,60,2015-02-24 ,60,0
406,13,59,0,2015-01-01,DefaultPeriod,9644.35,1,1,1,1,1,1,1,1,1,1,1,1,1,0,12537.65,15610.76,0,143880.61,,,2015-02-24 ,60,2015-04-09 ,60,1
407,13,61,0,2015-01-01,DefaultPeriod,2548.09,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,49659.62,,,2015-02-24 ,60,2015-02-24 ,60,0
408,13,62,0,2015-01-01,DefaultPeriod,2727.06,1,1,1,1,1,1,1,1,1,1,1,1,1,2754.33,0,0,0.608,57576.53,,,2015-02-24 ,60,2015-02-24 ,60,0
409,13,63,0,2015-01-01,DefaultPeriod,2727.06,1,1,1,1,1,1,1,1,1,1,1,1,1,2754.33,0,0,0.608,57576.53,,,2015-02-24 ,60,2015-02-24 ,60,0
410,13,68,0,2015-01-01,DefaultPeriod,4203.91,1,1,0.5,0,0,0,0,0,0,0,0,0,0.21,884.57,1149.94,1431.81,0.608,22642.55,Consultant ext,,2015-02-24 ,60,2015-04-07 ,60,1
411,13,71,0,2015-01-01,DefaultPeriod,3568.51,1,1,1,0.5,0,0,0,0,0,0,0,0,0.29,1051.22,1366.59,1701.56,0.608,26908.35,Consultant ext,,2015-02-24 ,60,2015-04-07 ,60,1
412,13,72,0,2015-01-01,DefaultPeriod,3861.78,0,0,0,0,1,1,1,1,1,1,1,1,0.67,2600.26,3380.34,4208.9,0.608,66559.43,,,2015-02-24 ,60,2015-04-09 ,60,1
413,13,73,0,2015-01-01,DefaultPeriod,3861.78,0,0,0,0,1,1,1,1,1,1,1,1,0.67,2600.26,3380.34,4208.9,0.608,66559.43,,,2015-02-24 ,60,2015-04-09 ,60,1
414,13,75,0,2015-01-01,DefaultPeriod,2552.95,0,0,0,0,0,0,1,1,0,0,0,0,0.17,429.75,558.67,695.61,0.608,11000.31,,,2015-02-24 ,60,2015-02-24 ,60,1
415,13,76,0,2015-01-01,DefaultPeriod,1044,1,1,1,1,1,1,1,1,1,1,1,1,1,1054.44,0,0,0.608,22042.01,,,2015-02-24 ,60,2015-02-24 ,60,0
416,13,77,0,2015-01-01,DefaultPeriod,1044,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.608,20346.47,,,2015-02-24 ,60,2015-02-24 ,60,0
417,13,78,0,2015-01-01,DefaultPeriod,3568.51,1,1,1,1,1,1,1,1,1,1,1,1,1,3604.19,4685.45,5833.91,0.608,92257.22,,,2015-02-24 ,60,2015-02-24 ,60,1
418,13,79,0,2015-01-01,DefaultPeriod,3568.51,1,1,1,1,1,1,1,1,1,1,0,0,0.83,3003.5,3904.54,4861.59,0.608,76881.02,Consultant ext,,2015-02-24 ,60,2015-04-08 ,60,1
419,13,80,0,2015-01-01,DefaultPeriod,3861.78,1,1,1,1,1,1,1,1,1,1,1,0,0.92,3575.36,4647.97,5787.24,0.608,91519.24,,,2015-02-24 ,60,2015-02-24 ,60,1
420,13,81,0,2015-01-01,DefaultPeriod,3861.78,0,0,0,0,1,1,1,1,1,1,1,1,0.67,2600.26,3380.34,4208.9,0.608,66559.43,,,2015-02-24 ,60,2015-04-09 ,60,1
421,13,82,0,2015-03-02,DefaultPeriod,3861.78,0,0,1,1,1,1,1,1,1,1,1,1,0.83,3250.33,4225.43,5261.13,0.608,83199.32,,,2015-02-24 ,60,2015-02-24 ,60,1
422,13,83,0,2015-01-12,DefaultPeriod,3568.51,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0.17,600.7,780.91,972.32,0.608,15376.21,Consultant ext,,2015-04-07 ,60,2015-04-07 ,60,1
423,13,84,0,2015-01-01,DefaultPeriod,3568.51,1,0,0,0,0,0,0,0,0,0,0,0,0.08,300.35,390.45,486.16,0.608,7688.11,Consultant ext,,2015-04-07 ,60,2015-04-07 ,60,1
424,13,85,0,2015-01-20,DefaultPeriod,3568.51,0,1,1,1,1,0,0,0,0,0,0,0,0.33,0,1561.82,1944.64,0.608,28820.57,Consultant ext,,2015-04-07 ,60,2015-04-07 ,60,1
425,13,86,0,2015-02-09,DefaultPeriod,3568.51,0,1,1,1,0,0,0,0,0,0,0,0,0.25,901.05,1171.36,1458.48,0.608,23064.32,Consultant ext,,2015-04-07 ,60,2015-04-07 ,60,1
426,13,87,0,2015-03-30,DefaultPeriod,3568.51,0,0,0,1,0.5,0,0,0,0,0,0,0,0.13,450.52,585.68,729.24,0.608,11532.14,Consultant ext,,2015-04-07 ,60,2015-04-07 ,60,1
427,13,88,0,2015-04-16,DefaultPeriod,3568.51,0,0,0,1,1,1,1,1,1,1,1,1,0.75,2703.15,3514.09,4375.43,0.608,69192.93,,,2015-04-07 ,60,2015-04-07 ,60,1
428,13,89,0,2015-04-08,DefaultPeriod,3568.51,0,0,0,1,1,1,1,1,1,1,1,1,0.75,2703.15,3514.09,4375.43,0.608,69192.93,,,2015-04-07 ,60,2015-04-07 ,60,1
429,13,90,0,2015-02-09,DefaultPeriod,3568.51,0,1,1,0.5,0,0,0,0,0,0,0,0,0.21,0,976.14,1215.4,0.608,18012.86,,,2015-04-07 ,60,2015-04-08 ,60,1
430,13,91,0,2015-04-07,DefaultPeriod,9644.35,0,0,0,1,1,1,1,1,1,1,1,1,0.75,7233.26,9403.24,11708.07,0,115143.72,,,2015-04-07 ,60,2015-04-07 ,60,1
431,13,92,0,2015-03-23,DefaultPeriod,3861.78,0,0,0,1,1,0,0,0,0,0,0,0,0.17,650.07,845.09,1052.23,0.608,16639.89,Consultant ext,,2015-04-07 ,60,2015-04-08 ,60,1
432,13,93,0,2015-03-15,DefaultPeriod,3568.51,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.08,300.35,390.45,486.16,0.608,7688.11,Consultant ext,,2015-04-07 ,60,2015-04-07 ,60,1
433,13,94,0,2015-03-16,DefaultPeriod,3568.51,0,0,0.5,1,1,0,0,0,0,0,0,0,0.21,750.87,976.14,1215.4,0.608,19220.26,Consultant ext,,2015-04-07 ,60,2015-04-07 ,60,1
434,13,95,0,2015-05-01,DefaultPeriod,3861.78,0,0,0,0,0,1,1,1,1,1,1,1,0.58,2275.23,2957.8,3682.79,0.608,58239.51,,,2015-04-09 ,60,2015-04-10 ,60,1
435,15,1,0,2015-01-01,DefaultPeriod,4132,0,0,0,1,1,1,1,1,1,1,1,1,0.75,0,0,0,0,37188,salaire validé avec note de débit,,2015-05-18 ,60,2015-07-27 ,60,0
436,15,2,0,2015-01-01,DefaultPeriod,3861.7754,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0.21,812.58,1056.36,1315.28,0.608,20799.8,,,2015-05-18 ,60,2015-07-27 ,60,1
437,15,2,0,2015-06-01,Promotion,3861.7754,0,0,0,0,0,0.5,1,1,1,1,1,1,0.54,2112.71,2746.53,3419.73,0.608,54079.5,,,2015-05-18 ,60,2015-07-27 ,60,1
438,15,3,0,2015-01-01,DefaultPeriod,4203.9129,1,1,1,1,1,1,1,1,1,1,1,1,1,4245.95,0,0,0.608,88757.37,,,2015-05-18 ,60,2015-05-18 ,60,0
439,15,4,0,2015-01-01,DefaultPeriod,4573.2093,1,1,1,1,1,1,1,0,0,0,0,0,0.58,2694.38,0,0,0.608,56323.37,,,2015-05-18 ,60,2015-05-18 ,60,0
440,15,4,0,2015-08-01,Promotion,4664.67,0,0,0,0,0,0,0,1,1,1,1,1,0.42,1963.05,0,0,0.608,41035.57,,,2015-05-18 ,60,2015-05-18 ,60,0
441,15,7,0,2015-01-01,DefaultPeriod,9644.35,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,115732.2,,,2015-05-18 ,60,2015-07-27 ,60,0
442,15,8,0,2015-01-01,DefaultPeriod,5736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,salaire validé avec note de débit,,2015-05-18 ,60,2015-06-23 ,97,0
443,15,9,0,2015-01-01,DefaultPeriod,4373.75,1,1,1,1,1,1,1,1,1,1,1,1,1,4417.49,0,0,0.608,92343.16,,,2015-05-18 ,60,2015-05-18 ,60,0
444,15,10,0,2015-01-01,DefaultPeriod,3861.7754,1,1,1,1,1,1,0,0,0,0,0,0,0.5,1950.2,0,0,0.608,40766.92,,,2015-05-18 ,60,2015-05-18 ,60,0
445,15,10,0,2015-07-15,Promotion,3939.01,0,0,0,0,0,0,1,1,1,1,1,1,0.5,1989.2,0,0,0.608,41582.24,,,2015-05-18 ,60,2015-05-18 ,60,0
446,15,11,0,2015-01-01,DefaultPeriod,4573.2093,1,1,1,1,1,1,1,1,1,1,1,1,1,4618.94,0,0,0.608,96554.35,,,2015-05-18 ,60,2015-05-18 ,60,0
447,15,12,0,2015-01-01,DefaultPeriod,10562,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,126744,,,2015-05-18 ,60,2015-07-27 ,60,0
448,15,16,0,2015-01-01,DefaultPeriod,2929.28,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,2366.86,0,0,0.608,49476.81,,,2015-05-18 ,60,2015-05-18 ,60,0
449,15,17,0,2015-01-01,DefaultPeriod,4287.99,1,1,1,1,1,1,1,1,1,1,1,1,1,4330.87,0,0,0.608,90532.51,,,2015-05-18 ,60,2015-05-18 ,60,0
450,15,18,0,2015-01-01,DefaultPeriod,4757.97,1,1,1,1,1,1,1,1,1,1,1,1,1,4805.55,0,0,0.608,100455.22,,,2015-05-18 ,60,2015-05-18 ,60,0
451,15,19,0,2015-01-01,DefaultPeriod,6458.45,1,1,1,1,1,1,1,1,1,1,1,1,1,6523.03,0,0,0.608,136357.5,,,2015-05-18 ,60,2015-05-18 ,60,0
452,15,20,0,2015-01-01,DefaultPeriod,4017.79,0,0,0,0,0,0,0,0,1,1,1,1,0.33,1352.66,0,0,0.608,28275.92,,,2015-05-18 ,60,2015-06-23 ,97,0
453,15,21,0,2015-01-01,DefaultPeriod,4373.75,1,1,0,0,0,0,0,0,0,0,0,0,0.17,736.25,0,0,0.608,15390.54,,,2015-05-18 ,60,2015-05-18 ,60,0
454,15,21,26,2015-03-01,CareerChange,4373.75,0,0,1,1,1,1,1,1,1,1,1,1,0.83,3681.24,0,0,0.608,76952.64,,,2015-05-18 ,60,2015-05-18 ,60,0
455,15,22,0,2015-01-01,DefaultPeriod,4373.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,,,2015-05-18 ,60,2015-06-24 ,97,0
456,15,23,0,2015-01-01,DefaultPeriod,4373.75,1,1,1,1,1,1,1,1,1,1,1,1,1,4417.49,0,0,0.608,92343.16,,,2015-05-18 ,60,2015-05-18 ,60,0
457,15,24,0,2015-01-01,DefaultPeriod,4573.2093,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.03,153.97,0,0,0.608,3218.49,,,2015-05-18 ,60,2015-05-18 ,60,0
458,15,24,0,2015-03-01,Promotion,4664.67,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.17,785.22,0,0,0.608,16414.22,,,2015-05-18 ,60,2015-06-24 ,97,0
459,15,25,0,2015-01-01,DefaultPeriod,6247,1,1,1,1,1,1,1,1,1,1,1,1,1,6247,0,0,0,81211,,,2015-05-18 ,60,2015-07-27 ,60,0
460,15,26,0,2015-01-01,DefaultPeriod,4203.9129,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0,0.73,3113.7,0,0,0.608,65088.75,,,2015-05-18 ,60,2015-05-18 ,60,0
461,15,26,0,2015-12-01,Promotion,4287.99,0,0,0,0,0,0,0,0,0,0,0,0.8,0.07,288.72,0,0,0.608,6035.5,,,2015-05-18 ,60,2015-05-18 ,60,0
462,15,28,0,2015-01-01,DefaultPeriod,3939.01,0,0,0,0,1,1,1,1,1,1,1,1,0.67,2652.27,0,0,0.608,55442.99,,,2015-05-18 ,60,2015-05-18 ,60,0
463,15,28,24,2015-01-02,Maternity,1470.21,1,1,1,1,0,0,0,0,0,0,0,0,0.33,494.97,0,0,0.608,10346.87,Congé mat du 17/12/2014 au 8/4/2015,,2015-05-18 ,60,2015-05-18 ,60,0
464,15,30,0,2015-01-01,DefaultPeriod,3861.7754,1,1,1,1,1,1,0,0,0,0,0,0,0.5,1950.2,2535.26,3156.67,0.608,49919.54,Consultant ext,,2015-05-18 ,60,2015-07-27 ,60,1
465,15,33,0,2015-01-01,DefaultPeriod,6066.99,1,1,1,1,1,1,1,1,1,1,1,1,1,6127.66,0,0,0.608,128092.6,,,2015-05-18 ,60,2015-05-18 ,60,0
466,15,34,0,2015-01-01,DefaultPeriod,4287.99,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.35,1515.8,0,0,0.608,31686.36,Congé mat du 26/11/2014 au 25/5/2014,,2015-05-18 ,60,2015-05-18 ,60,0
467,15,34,25,2015-01-02,Maternity,1735.1129,1,1,1,1,1,0,0,0,0,0,0,0,0.42,730.19,0,0,0.608,15263.96,,,2015-05-18 ,60,2015-05-18 ,60,0
