rownames,macro_budget_id,year,amount,comment,project_id,accounting_amount
760,40694018,2016,49849.27,,498,49849.27
761,40694019,2015,8949.57,,360,8949.57
762,40694020,2014,0,,360,0
763,40694021,2016,3079.86,,360,3079.86
764,40694028,2015,0,,406,0
765,40694029,2017,15238.56,,406,15238.56
766,40694030,2016,0,,406,0
767,40694045,2017,0,,767,0
768,40694046,2017,13617.44,,621,13617.44
769,40694047,2016,28618.51,,621,28618.51
770,40694053,2017,1441.29,,561,1441.29
771,40694054,2016,1430.07,,561,1430.07
772,40694069,2015,940.02,,369,940.02
773,40694070,2014,48686.64,,369,48686.64
774,40694071,2017,0,,369,0
775,40694072,2016,162.95,,615,162.95
776,40694084,2015,8658.89,,180,8658.89
777,40694085,2016,40679.17,,180,40679.17
778,40694086,2014,24441.73,,180,24441.73
779,40694087,2017,1623.28,,727,1623.28
780,40694088,2017,571.92,,798,571.92
781,40694089,2017,0,,721,0
782,40694093,2017,69042.59,,698,69042.59
783,40694094,2017,0,,704,0
784,40694113,2017,26833.99,,635,26833.99
785,40694114,2016,36593.34,,635,36593.34
786,40694127,2017,2245.74,,684,2245.74
787,40694138,2017,3062.24,,692,3062.24
788,40694139,2017,982.42,,592,982.42
789,40694140,2016,0,,592,0
790,40694141,2015,64832.05,,443,64832.05
791,40694142,2017,2250,,443,2250
792,40694143,2016,2019.96,,443,2019.96
793,40694144,2015,103.57,,492,103.57
794,40694145,2016,3299.76,,492,3299.76
795,40694146,2017,150.02,,492,150.02
796,40694147,2015,49315.4,,541,49315.4
797,40694148,2016,72342.61,,541,72342.61
798,40694149,2017,46785.86,,541,46785.86
799,40696587,2017,0,,551,0
800,40697136,2013,230,,23,230
801,40697137,2015,0,,23,0
802,40697138,2014,6640,,23,6640
803,40697139,2016,381.13,,23,381.13
804,40697165,2018,9027.33,,756,9027.33
805,40697166,2017,3061.93,,756,3061.93
806,40697221,2018,2685.62,,865,2685.62
807,40697243,2018,11400,,750,11400
808,40697244,2017,0,,750,0
809,40697250,2018,2598.14,,630,2598.14
810,40697251,2017,5514.86,,630,5514.86
811,40697252,2016,63850.74,,630,63850.74
812,40697253,2017,3139.02,,799,3139.02
813,40697254,2018,121829.7,,848,121829.7
814,40697255,2017,5232.76,,836,5232.76
815,40697256,2018,1581.5,,730,1581.5
816,40697257,2017,1299.83,,730,1299.83
817,40697260,2018,3962.85,,885,3962.85
818,40697268,2018,985.32,,759,985.32
819,40697269,2017,5158.81,,759,5158.81
820,40697276,2018,0,,805,0
821,40697277,2016,125461.31,,118,125461.31
822,40697278,2013,42761.75,,118,42761.75
823,40697279,2018,2406.05,,118,2406.05
824,40697280,2017,49325.17,,118,49325.17
825,40697281,2015,108688.16,,118,108688.16
826,40697282,2014,121286.65,,118,121286.65
827,40697283,2018,2599.88,,450,2599.88
828,40697294,2018,2213.71,,229,2213.71
829,40697295,2013,24655.63,,229,24655.63
830,40697296,2017,47943.15,,229,47943.15
831,40697297,2015,114874.6,,229,114874.6
832,40697298,2014,116294.49,,229,116294.49
833,40697299,2016,126324.12,,229,126324.12
834,40697308,2016,46.24,,513,46.24
835,40697309,2018,306.45,,513,306.45
836,40697310,2017,84,,513,84
837,40697311,2015,2270.64,,513,2270.64
838,40697326,2018,0,,962,0
839,40697327,2018,52.71,,272,52.71
840,40697328,2017,7115.16,,272,7115.16
841,40697329,2015,8201.95,,272,8201.95
842,40697330,2014,8654,,272,8654
843,40697331,2016,0,,272,0
844,40697332,2018,128535.4,,813,128535.4
845,40697340,2018,1293.92,,461,1293.92
846,40697341,2015,93950.66,,461,93950.66
847,40697342,2017,14280.36,,461,14280.36
848,40697343,2016,52510.21,,461,52510.21
849,40697344,2018,0,,796,0
850,40697345,2017,0,,796,0
851,40697355,2018,2067.79,,584,2067.79
852,40697356,2017,0,,584,0
853,40697357,2016,1671.58,,584,1671.58
854,40697358,2018,0,,627,0
855,40697359,2017,2491.44,,627,2491.44
856,40697360,2016,6846.43,,627,6846.43
857,40697361,2018,838.62,,776,838.62
858,40697362,2017,7727.56,,776,7727.56
859,40697363,2016,0,,653,0
860,40697364,2017,3636.41,,653,3636.41
861,40697365,2018,0,,653,0
862,40697366,2017,0,,702,0
863,40697367,2018,0,,702,0
864,40697390,2016,928.92,,590,928.92
865,40697391,2018,0,,590,0
866,40697392,2017,4028.91,,590,4028.91
867,40697424,2018,0,,808,0
868,40697425,2017,0,,808,0
869,40697431,2014,2429,,359,2429
870,40697432,2018,-4.26,,359,-4.26
871,40697433,2016,46659.61,,359,46659.61
872,40697434,2015,39615.61,,359,39615.61
873,40697435,2017,18032.6,,359,18032.6
874,40697455,2018,0,,860,0
875,40697458,2016,23204.31,,622,23204.31
876,40697459,2017,25337.41,,622,25337.41
877,40697460,2018,213.26,,622,213.26
878,40697466,2018,104.12,,954,104.12
879,40697473,2016,0,,662,0
880,40697474,2018,0,,662,0
881,40697475,2017,0,,662,0
882,40697476,2018,969.4,,568,969.4
883,40697477,2017,846.5,,568,846.5
884,40697478,2017,0,,714,0
885,40697487,2018,1827.35,,891,1827.35
886,40697488,2018,0,,820,0
887,40697497,2014,8376.87,,413,8376.87
888,40697498,2017,9411.31,,413,9411.31
889,40697499,2015,133440.25,,413,133440.25
890,40697500,2016,38743.88,,413,38743.88
891,40697501,2018,1421.73,,413,1421.73
892,40697507,2017,0,,462,0
893,40697508,2015,91701.13,,462,91701.13
894,40697509,2018,0,,462,0
895,40697510,2016,807.08,,462,807.08
896,40697544,2016,1248.52,,685,1248.52
897,40697545,2018,0,,685,0
898,40697546,2017,484.45,,685,484.45
899,40697547,2016,19468.28,,691,19468.28
900,40697548,2018,0,,691,0
901,40697549,2017,3900.98,,691,3900.98
902,40697550,2018,50.9,,791,50.9
903,40697551,2017,2168.24,,791,2168.24
904,40697552,2018,70,,834,70
905,40697553,2017,1657.54,,834,1657.54
906,40697554,2018,19209.88,,840,19209.88
907,40697555,2017,536.79,,840,536.79
908,40697556,2016,339.95,,642,339.95
909,40697557,2018,24350.69,,642,24350.69
910,40697558,2017,24040.33,,642,24040.33
911,40697577,2014,56798.7,,216,56798.7
912,40697578,2015,7825.11,,216,7825.11
913,40697579,2018,1832.8,,216,1832.8
914,40697580,2017,0,,216,0
915,40697581,2013,48757.9,,216,48757.9
916,40697582,2016,3186.65,,216,3186.65
917,40697587,2017,0,,93,0
918,40697588,2018,0,,93,0
919,40697589,2015,0,,93,0
920,40697590,2013,4794.67,,93,4794.67
921,40697591,2014,830,,93,830
922,40697592,2016,0,,93,0
923,40697601,2017,448.89,,828,448.89
924,40697631,2018,994.71,,966,994.71
925,40697674,2016,2400,,602,2400
926,40697675,2017,0,,602,0
927,40697676,2018,1459.78,,602,1459.78
928,40697701,2016,61827.24,,645,61827.24
929,40697702,2018,4267.52,,645,4267.52
930,40697703,2017,77288.11,,645,77288.11
931,40697704,2018,2129.9,,731,2129.9
932,40697705,2017,0,,731,0
933,40697723,2017,200,,788,200
934,40697724,2018,1112.61,,788,1112.61
935,40697731,2017,110635.45,,712,110635.45
936,40697732,2018,2672.27,,712,2672.27
937,40697733,2017,10400.41,,783,10400.41
938,40697734,2018,842.85,,783,842.85
939,40697735,2018,0,,806,0
940,40697761,2015,9883.53,,503,9883.53
941,40697762,2017,9258.39,,503,9258.39
942,40697763,2016,8328.01,,503,8328.01
943,40697764,2018,-0.21,,503,-0.21
944,40697767,2017,4031.5,,457,4031.5
945,40697768,2016,123152.62,,457,123152.62
946,40697769,2018,1296.35,,457,1296.35
947,40697770,2015,94318.4,,457,94318.4
948,40697777,2017,0,,766,0
