rownames,axe1_analytical_section_permission_id,user_id,entity_id
1176,6378,26,1336
1177,6381,181,1377
1178,6384,25,875
1179,6385,21,1378
1180,6388,177,1379
1181,6390,177,1380
1182,6392,21,1381
1183,6394,84,1382
1184,6436,21,1362
1185,6438,185,1167
1186,6439,185,1205
1187,6440,185,1263
1188,6441,185,1044
1189,6442,185,1301
1190,6443,185,1335
1191,6444,214,1371
1192,6447,84,1301
1193,6448,28,1383
1194,6449,216,1306
1195,6450,216,1346
1196,6451,216,1351
